ID,Zip_Code,Population,Population_Density,Housing_Units,Median_Home_Value,Occupied_Housing_Units,Median_Household_Income,Gender_Male,Gender_Female,Race_White,Race_Black,Race_Indian,Race_Asian,Race_Hawaiian,Race_Other,Race_Mixed,Whole_Family,Single_Guardian,Singles,Single_With_Roomate,Owned_With_Mortgage,Owned_No_Mortgage,Renter,Vacant,Full_Time,Part_Time,Unemployed
23,77004,32692,5660,16618,191700,12802,41983,16368,16324,9231,18948,114,2085,12,1576,726,2628,2647,5903,1624,2632,1434,8736,3816,9054,8505,10288
24,77024,34775,2737,15927,658600,14410,111139,16491,18284,28570,552,76,4106,20,776,675,8117,1403,4408,482,6085,4259,4066,1517,12325,5683,9871
25,77077,52151,5984,27105,208900,24376,59958,25072,27079,30430,10195,189,6037,33,3512,1755,9400,3926,9410,1640,6829,2829,14718,2729,23789,8895,10023
26,77031,15762,4948,6305,114900,5439,39278,7989,7773,6409,4973,70,957,6,2748,599,2246,1398,1362,433,1856,704,2879,866,5587,3892,3634
27,77063,34299,7456,19359,176600,17234,49873,17226,17073,19798,6408,221,3122,20,3407,1323,4850,2614,7966,1804,3089,1625,12520,2125,15969,6951,6834
28,77027,14331,5007,10203,475900,8477,81661,7002,7329,11834,704,36,1068,12,407,270,2452,576,4534,915,1971,1158,5348,1726,8398,2883,2963
29,77009,38094,6164,15705,163000,13923,44651,19669,18425,24476,2549,330,339,23,9114,1263,5181,3243,4206,1293,4285,3203,6435,1782,13279,7818,10060
30,77081,47860,15456,19352,217100,16569,26741,26165,21695,24539,4834,487,2673,12,12305,3010,5869,4328,4495,1877,692,420,15457,2783,14139,8600,8174
31,77023,28998,5322,10646,102700,9129,36033,14964,14034,17875,696,274,302,17,8683,1151,4079,2313,2058,679,2297,2014,4818,1517,9914,5311,7334
32,77011,19547,5477,6932,80300,5940,26838,10220,9327,12470,433,214,60,18,5666,686,2647,1645,1307,341,921,1599,3420,992,5096,3446,5920
33,77058,16406,1989,9667,158400,8558,49589,8150,8256,11898,1210,112,1776,22,827,561,2578,1192,3936,852,1998,1016,5544,1109,6477,3505,3740
34,77091,23472,3269,10992,95300,8366,27903,11180,12292,5404,14464,144,121,4,2777,558,2539,2977,2340,510,1938,1658,4770,2626,6749,3984,6800
35,77018,25563,3861,11837,218400,10557,61980,12698,12865,18638,2665,176,354,7,3036,687,4468,1828,3342,919,4603,2731,3223,1280,10778,4385,6092
36,77079,31280,4284,13335,326400,12201,95589,14995,16285,23602,2518,102,2740,10,1395,913,6835,1873,3034,459,5056,2866,4279,1134,11709,5140,7224
37,77008,30482,4675,16526,292200,14878,70293,15523,14959,23874,1460,237,876,12,3170,853,5248,1739,6104,1787,5907,2159,6812,1648,15550,5328,5333
38,77012,20719,5275,6952,82600,6035,34975,11000,9719,12926,574,179,265,2,5937,836,2819,1704,1130,382,1120,1322,3593,917,6988,3909,5662
39,77061,24457,3089,9555,113800,8312,34566,12539,11918,11020,5152,174,1319,8,6023,761,3349,2366,1989,608,1990,1192,5130,1243,7600,4725,6128
40,77078,14777,1380,4898,70700,4405,30368,7045,7732,2924,9130,67,20,1,2371,264,1666,1770,809,160,1584,975,1846,493,4470,2233,5354
41,77022,29557,5061,10692,81700,9449,28810,14948,14609,14057,6001,218,96,14,8163,1008,3690,2682,2578,499,1952,2219,5278,1243,8292,4501,8802
42,77016,26989,2791,10593,63700,9279,31327,13029,13960,3634,19044,163,47,2,3667,432,3162,3387,2363,367,2596,3593,3090,1314,6688,4548,10108
43,77067,30559,5100,10595,94700,9288,37309,14942,15617,8375,12790,145,1976,19,6102,1152,3983,3074,1759,472,3494,725,5069,1307,9985,4195,7160
44,77041,37146,2007,11997,137200,11506,70608,18607,18539,20960,3220,274,5789,21,5649,1233,7384,1834,1831,457,6522,2188,2796,491,12910,6321,8016
45,77096,32628,5451,15431,255900,13968,63346,15417,17211,20448,6076,109,2687,9,2455,844,6287,2387,4528,766,4291,3008,6669,1463,13005,6439,8054
46,77002,16793,8320,3757,208600,3080,64093,13839,2954,8704,6649,36,310,4,907,183,367,104,2259,350,566,129,2385,677,3349,3939,4151
47,77019,18944,5382,10980,378700,9955,87394,9546,9398,14845,1877,49,1076,5,688,404,3223,926,4483,1323,3491,1486,4978,1025,9956,3630,3548
48,77006,19664,8720,13602,327300,11809,67458,11111,8553,15921,837,91,1121,13,1142,539,2440,703,6604,2062,3230,964,7615,1793,10918,4854,3371
49,77056,18673,5397,12270,555700,10372,93069,9323,9350,14592,879,37,2183,3,556,423,3742,688,5065,877,2631,1876,5865,1898,8027,2868,4791
50,77054,22290,3989,14173,119300,12181,41694,10707,11583,6847,8014,65,6067,14,710,573,2465,1615,6269,1832,1672,514,9995,1992,9379,4661,5037
51,77003,10508,4144,4713,162600,3894,36412,5709,4799,5206,2757,49,274,0,1858,364,1093,820,1505,476,955,466,2473,819,3685,2024,2726
52,77040,45081,3208,17649,121700,15976,53194,22572,22509,25627,5989,433,3253,22,8213,1544,7863,3293,3900,920,6678,2636,6662,1673,17762,7761,9011
53,77060,40830,4965,15562,90400,13035,27750,21072,19758,18045,8844,468,258,15,11479,1721,4877,4158,3164,836,2123,1159,9753,2527,11272,10064,8204
54,77092,33745,4431,14870,130200,12654,37314,17174,16571,19996,4562,278,421,8,7383,1097,4728,3118,3809,999,3234,2154,7266,2216,11764,6061,8612
55,77089,48685,3829,16805,121000,15902,63141,23897,24788,26312,7454,234,6148,51,6979,1507,8926,3402,2860,714,8244,2955,4703,903,20010,8801,10141
56,77057,39208,9198,22694,224900,19756,54594,20586,18622,26906,2944,1072,2452,31,4365,1438,5636,2487,9664,1969,4706,2042,13008,2938,17477,7765,8075
57,77339,37512,2224,16137,150300,15131,73135,18139,19373,31989,1882,179,1154,52,1361,895,8233,2024,4072,802,7296,2568,5267,1006,14724,8082,9099
58,77007,30853,3952,17708,308700,16083,98725,16556,14297,23426,1718,151,1884,17,2735,922,4855,1558,7182,2488,6191,1550,8342,1625,17972,5002,4644
59,77074,37267,6852,14331,104800,12396,36207,18719,18548,18652,5843,345,2254,14,8526,1633,4977,3146,3380,893,3016,1781,7599,1935,11693,7384,8665
60,77076,33803,7082,10193,86500,9304,31212,17246,16557,19673,2446,294,82,19,10021,1268,4745,2682,1380,497,2688,2126,4490,889,8353,6978,8703
61,77064,45847,3114,16362,133300,15341,62610,22813,23034,24787,6161,352,7057,17,5937,1536,8298,2996,3268,779,7994,2034,5313,1021,18692,6737,9605
62,77020,25464,3688,9384,70500,7899,29401,12815,12649,12121,6461,261,125,14,5763,719,3081,2605,1792,421,1657,2208,4034,1485,6558,4455,8523
63,77072,56526,7725,18964,94100,17030,35462,27720,28806,18418,13479,473,11343,25,10411,2377,7750,5413,3001,866,5951,2464,8615,1934,18045,10980,13513
64,77075,37388,3397,12024,114600,11190,45581,18328,19060,18092,7102,233,2511,27,8109,1314,5770,3046,1858,516,5067,1560,4563,834,14097,6131,7944
65,77087,36399,5462,11494,84800,10455,38707,18496,17903,19010,5337,241,263,4,10338,1206,5237,2769,1944,505,3370,2556,4529,1039,11652,5695,10215
66,77030,10258,4069,5759,501100,4902,68980,5178,5080,6751,644,16,2300,4,235,308,1822,336,2183,561,1422,707,2773,857,4842,1921,2456
67,77084,95137,3094,33731,124300,31473,62785,46947,48190,53996,13365,667,8761,80,14633,3635,17000,6502,6204,1767,17188,2961,11324,2258,38406,14896,21247
68,77025,26137,6078,13662,331200,12096,65828,12534,13603,16499,3123,93,3951,21,1610,840,4727,1533,4796,1040,3592,1759,6745,1566,10516,4586,5972
69,77094,8498,754,3189,295200,2924,146518,4218,4280,6311,231,15,1700,4,104,133,2365,206,305,48,1993,666,265,265,3253,1349,2194
70,77005,25528,6639,10299,754000,9548,159732,12528,13000,21154,436,45,3033,6,286,568,5610,637,2827,474,4697,2212,2639,751,9332,5216,5861
71,77051,15085,2059,6584,58800,5806,22920,6647,8438,549,13783,29,42,3,533,146,1097,2623,1847,239,1051,1429,3326,778,3186,2001,6291
72,77032,12757,577,4343,72900,3929,23389,6150,6607,4904,5304,70,123,11,2065,280,1271,1495,1002,161,785,557,2587,414,2680,2272,4404
73,77071,25671,5746,10423,117500,9362,45941,12097,13574,7121,13142,133,1994,13,2666,602,3860,2362,2696,444,4120,1274,3968,1061,9002,4916,6707
74,77598,23059,1905,11956,117100,10615,46682,11550,11509,14465,3218,124,1480,23,2796,953,3065,2056,4463,1031,1677,547,8391,1341,9637,4584,3922
